📺央视频道,#genre#
CCTV-1综合,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-1综合,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV-2财经,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-2财经,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV-3综艺,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-3综艺,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV-4中文国际,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-4中文国际,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV-4北美,http://144.255.16.170:6688/udp/239.21.2.29:5002
CCTV-4欧洲,http://144.255.16.170:6688/udp/239.21.2.28:5002
CCTV-5体育,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5体育,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV-5+体育赛事,http://111.56.90.5/000000000000/5000000011000031127/index.m3u8
CCTV-5+体育赛事,http://118.122.144.115:8888/newlive/live/hls/16/live.m3u8
CCTV-5+体育赛事,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV-6电影,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-6电影,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV-7国防军事,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-7国防军事,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV-8电视剧,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-8电视剧,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV-9纪录,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-9纪录,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV-10科教,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-10科教,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV-11戏曲,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-11戏曲,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV-12社会与法,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001239/index.m3u8
